artist,title,url
BABYMONSTER,SHEESH,https://youtu.be/2wA_b6YHjqQ?si=qbpQhlDHj1Ff-Bg9
BABYMONSTER,Stuck In The Middle,https://youtu.be/GsV1i0QHi-o?si=R3rHyeEh3gM6eTTK
BABYMONSTER,BATTER UP,https://youtu.be/olDWm2veCrM?si=QkMDnTOcRV4C8rZI
TWICE,Like OOH-AHH(OOH-AHH하게),https://youtu.be/0rtV5esQT6I?si=A4iUMIycSVZDV8Xw
TWICE,CHEER UP,https://youtu.be/c7rCyll5AeY?si=PwfX0f3JZ1Y8C1bi
TWICE,TT,https://youtu.be/ePpPVE-GGJw?si=4cWnyqlUdI69qnCj
TWICE,KNOCK KNOCK,https://youtu.be/8A2t_tAjMz8?si=nREJkwR1m5tSF4dj
TWICE,SIGNAL,https://youtu.be/VQtonf1fv_s?si=KhG0lFPuIqhoA3ln
TWICE,LIKEY,https://youtu.be/V2hlQkVJZhE?si=RLlTk3TP2DthNwnd
TWICE,Heart Shaker,https://youtu.be/rRzxEiBLQCA?si=Z_pG6Nin4RfSqNIo
TWICE,Merry & Happy,https://youtu.be/zi_6oaQyckM?si=J7yyNjvkWt4oz94x
TWICE,What is Love?,https://youtu.be/i0p1bmr0EmE?si=wRdRqJA57AaUf0t1
TWICE,Dance The Night Away,https://youtu.be/Fm5iP0S1z9w?si=aE05qmvNpikqdX9d
TWICE,YES or YES,https://youtu.be/mAKsZ26SabQ?si=EfcK2CjaU7RqhnrU
TWICE,The Best Thing I Ever Did(올해 제일 잘한 일),https://youtu.be/CfUGjK6gGgs?si=GckMYilL0q84WeV0
TWICE,FANCY,https://youtu.be/kOHB85vDuow?si=ZNNn3MLLSscmaD6z
TWICE,Feel Special,https://youtu.be/3ymwOvzhwHs?si=UwBA32SzEEOY3Lxu
TWICE,MORE & MORE,https://youtu.be/mH0_XpSHkZo?si=oxewxGH2uIjya3fS
TWICE,I CAN'T STOP ME,https://youtu.be/CM4CkVFmTds?si=-zVzVAysTLcoJpD0
TWICE,Alcohol-Free,https://youtu.be/XA2YEHn-A8Q?si=JzPzyBvYFtqQC0Xl
TWICE,The Feels,https://youtu.be/f5_wn8mexmM?si=m6qj4mWtd7P9waPS
TWICE,SCIENTIST,https://youtu.be/vPwaXytZcgI?si=yNQEwccVvmpnSK0P
TWICE,Talk that Talk,https://youtu.be/k6jqx9kZgPM?si=ozF9FW4u8tPVvu9S
TWICE,SET ME FREE,https://youtu.be/w4cTYnOPdNk?si=Orys5-h_hCFETe4P
TWICE,MOONLIGHT SUNRISE,https://youtu.be/cKlEE_EYuNM?si=gjjVmEfN7L1ukahZ
TWICE,ONE SPARK,https://youtu.be/jCzez_q8si0?si=e_HovjLyuuLq0ldR
